,ts,lat,lon,speed
153,2017-07-01 01:14:41,13.75177,100.531107,38
154,2017-07-01 01:14:56,13.749853,100.530577,39
155,2017-07-01 01:15:56,13.747333,100.530547,31
156,2017-07-01 01:16:11,13.745833,100.530327,41
157,2017-07-01 01:16:41,13.743993,100.530047,21
158,2017-07-01 01:16:56,13.742583,100.529797,41
159,2017-07-01 01:17:11,13.740963,100.529547,40
160,2017-07-01 01:17:56,13.736743,100.529047,44
161,2017-07-01 01:18:11,13.735103,100.528747,39
162,2017-07-01 01:18:41,13.733943,100.528547,0
163,2017-07-01 01:18:56,13.733943,100.528607,0
164,2017-07-01 01:19:56,13.734103,100.526417,25
165,2017-07-01 01:20:11,13.734493,100.525387,34
166,2017-07-01 01:20:26,13.735053,100.524027,44
167,2017-07-01 01:20:56,13.736083,100.521247,41
168,2017-07-01 01:21:11,13.736463,100.519887,10
169,2017-07-01 01:22:56,13.736773,100.519027,21
170,2017-07-01 01:23:11,13.737103,100.518137,20
171,2017-07-01 01:23:11,13.737103,100.518137,20
172,2017-07-01 01:23:56,13.738243,100.517027,28
173,2017-07-01 01:24:11,13.738413,100.5165,20
174,2017-07-01 01:24:41,13.739693,100.51613,11
175,2017-07-01 01:24:56,13.740303,100.5163,15
176,2017-07-01 01:25:41,13.739743,100.51652,0
177,2017-07-01 01:26:01,13.739743,100.5165,0
178,2017-07-01 01:26:11,13.739743,100.5165,0
179,2017-07-01 01:26:41,13.739713,100.5165,0
180,2017-07-01 01:26:56,13.739713,100.5165,0
181,2017-07-01 01:27:56,13.738493,100.517297,15
182,2017-07-01 01:28:11,13.739243,100.517437,22
183,2017-07-01 01:28:56,13.740463,100.519827,20
184,2017-07-01 01:29:11,13.739693,100.519637,30
185,2017-07-01 01:29:11,13.739693,100.519637,30
186,2017-07-01 01:29:56,13.736523,100.519497,11
187,2017-07-01 01:30:11,13.736383,100.519967,14
188,2017-07-01 01:30:56,13.735553,100.522247,32
189,2017-07-01 01:30:56,13.735553,100.522247,32
190,2017-07-01 01:31:56,13.733853,100.526887,16
191,2017-07-01 01:31:56,13.733853,100.526887,16
192,2017-07-01 01:32:11,13.733523,100.527687,14
193,2017-07-01 01:32:56,13.734353,100.528607,15
194,2017-07-01 01:33:11,13.734243,100.528667,9
195,2017-07-01 01:33:56,13.737663,100.528967,40
196,2017-07-01 01:33:56,13.737663,100.528967,40
197,2017-07-01 01:34:11,13.738993,100.529107,41
198,2017-07-01 01:34:56,13.741443,100.529297,0
199,2017-07-01 01:34:56,13.741443,100.529297,0
200,2017-07-01 01:35:11,13.741633,100.529327,18
201,2017-07-01 01:35:56,13.743353,100.529467,1
202,2017-07-01 01:35:56,13.743443,100.529497,4
203,2017-07-01 01:36:41,13.746713,100.529887,40
204,2017-07-01 01:36:56,13.748713,100.530167,52
205,2017-07-01 01:37:56,13.75236,100.530747,36
206,2017-07-01 01:38:11,13.75341,100.531357,39
207,2017-07-01 01:38:11,13.75341,100.531357,39
208,2017-07-01 01:38:56,13.75563,100.532607,14
209,2017-07-01 01:39:11,13.75658,100.533107,27
210,2017-07-01 01:39:56,13.75786,100.533913,10
211,2017-07-01 01:39:56,13.75786,100.533913,10
212,2017-07-01 01:40:56,13.76391,100.537333,27
213,2017-07-01 01:40:56,13.76391,100.537333,27
214,2017-07-01 01:41:11,13.76433,100.537603,10
215,2017-07-01 01:42:01,13.76594,100.538193,13
216,2017-07-01 01:42:11,13.76597,100.538333,22
217,2017-07-01 01:42:56,13.767747,100.539803,2
218,2017-07-01 01:42:56,13.767747,100.539803,2
219,2017-07-01 01:43:56,13.771577,100.541633,32
220,2017-07-01 01:44:11,13.773937,100.542443,55
221,2017-07-01 01:44:26,13.775997,100.543213,50
222,2017-07-01 01:44:56,13.778607,100.544133,2
223,2017-07-01 01:45:01,13.778607,100.544133,2
224,2017-07-01 01:45:56,13.783217,100.545883,33
225,2017-07-01 01:46:11,13.784353,100.546303,9
226,2017-07-01 01:46:56,13.787463,100.547523,14
227,2017-07-01 01:46:56,13.787463,100.547523,14
228,2017-07-01 01:47:11,13.787963,100.547713,1
229,2017-07-01 01:47:41,13.788333,100.547833,17
230,2017-07-01 01:47:56,13.789443,100.548243,34
231,2017-07-01 01:49:01,13.794133,100.549943,9
232,2017-07-01 01:49:11,13.794913,100.55019,21
233,2017-07-01 01:49:56,13.798213,100.55111,27
234,2017-07-01 01:50:11,13.799083,100.5515,26
235,2017-07-01 01:50:56,13.80252,100.55316,7
236,2017-07-01 01:51:11,13.80255,100.55319,0
237,2017-07-01 01:51:56,13.80294,100.55341,17
238,2017-07-01 01:52:11,13.80386,100.55394,31
239,2017-07-01 01:52:11,13.80386,100.55394,31
240,2017-07-01 01:52:56,13.80891,100.557,63
241,2017-07-01 01:53:11,13.8108,100.55811,58
242,2017-07-01 01:53:41,13.81361,100.55852,38
243,2017-07-01 01:53:56,13.81522,100.55836,45
244,2017-07-01 01:54:56,13.820187,100.55797,44
