ลำดับป้ายรถเมล์,ชื่อภาษาไทย,ชื่อภาษาอังกฤษ,รายละเอียด,ละติจูด,ลองติจูด,ชื่ออ้างอิง,ชื่ออ้างอิงภาษาอังกฤษ
54,ตรงข้ามหมู่บ้านเอกสิน,muban ekkasin,ถนน นาคนิวาส,13.8199006131026,100.609274308151,"ตรงข้ามหมู่บ้านเอกสิน,หมู่บ้านเอกสิน","muban ekkasin,"
55,ซอยยิ้มประยูร,wong sawang soi 4,ถนน วงศ์สว่าง,13.8206584521747,100.520226360734,"ซอยยิ้มประยูร,วงศ์สว่างซอย4","wong sawang soi 4,"
56,โรงเรียนวัดม่วงแค,wat muang khae school,ถนน เจริญกรุง,13.7261907493711,100.516100595576,โรงเรียนวัดม่วงแค,"wat muang khae school,"
57,ตลาดสินสมบูรณ์(ขาเข้า),sin som boon market,ถนน พุทธมลฑลสาย 4,13.7139179865336,100.33045319369,ตลาดสินสมบูรณ์(ขาเข้า),"sin som boon market,"
58,ตรงข้ามโรงเรียนสามเสน,samsen school,ถนน ประดิพัทธิ์,13.7842501991063,100.535256625089,ตรงข้ามโรงเรียนสามเสน,"samsen school,"
60,แยกวงศ์สว่าง,yaek wong sawang,ถนน วงศ์สว่าง,13.8291980663943,100.529697244822,แยกวงศ์สว่าง,"yaek wong sawang,"
62,ซอยนวลจันทร์ 9,nuanjun soi 9,ถนน นวลจันทร์,13.8156167334606,100.645975627409,"นวลจันทร์ซอย 9,นวลจันทร์วอย 9","nuanjun soi 9 ,"
63,รามคำแหง 2 ซอย 8,ram kham hang 2 soi 8,ถนน รามคำแหง,13.66977231,100.68419192,รามคำแหง 2 ซอย 8,"ram kham hang 2 soi 8,"
64,ตลาดน้ำเมืองรังสิต,muang rangsit floating market,ถนน รังสิต-นครนายก,13.9880906637634,100.633804764073,ตลาดน้ำเมืองรังสิต,"muang rangsit floating market,"
65,"วิภาวดีรังสิต39,หมู่บ้านยิ่งโอฬาร","wipawadee rangsit 39 ,YingOhran village",ถนน วิภาวดีรังสิต,13.94405293,100.61471701,"วิภาวดีรังสิต 39,หมู่บ้านยิ่งโอฬาร","wipawadee rangsit 39 ,YingOhran village,"
66,ตรงข้ามวัดอรุณ,wat a-run,ถนน อรุณอมรินทร์,13.7434804389232,100.48664917231,วัดอรุณ,"wat a-run,"
67,อุทยานเบญจสิริ,Benjasiri Park,ถนน สุขุมวิท ขาเข้า,13.7313635457316,100.568243997324,เอ็มโพเรียม,"Benjasiri Park,Emporium"
70,ตรงข้ามประชาอุทิศซอย27,pracha u-thit soi 43,ถนน ประชาอุทิศ,13.6597555598796,100.501139604861,ตรงข้ามประชาอุทิศ ซอย 27,"pracha u-thit soi 43,"
71,ซอยสาธุประดิษฐ์ 43,sathu pradit soi 43,ถนน สาธุประดิษฐ์,13.6901701320689,100.534135887354,สาธุประดิษฐ์ ซอย 43,"sathu pradit soi 43,"
72,ท่ารถสาย23,tha rot sai 23,ถนน ลูกหลวง,13.767101058045,100.506523108633,ท่ารถสาย 23,"tha rot sai 23,"
73,วัดสามพระยา,Wat Sampraya,ถนน สามเสน ขาออก,13.7656791582815,100.500217340117,วัดสามพระยา,Wat Sampraya
74,หมู่บ้านสุขประชาสวรรค์,muban suk pracha sawan,ถนน ติวานนท์,13.9097674382189,100.506575798442,หมู่บ้านสุขประชาสวรรค์,"muban suk pracha sawan,"
75,ท่าแจงร้อน(ราษฎร์บูรณะ37),tha chaeng ron,ถนน ราษฎร์บูรณะ,13.6734836801543,100.518278672614,"ท่าแจงร้อน(ราษฎร์บูรณะ 37),ท่าแจงร้อน","tha chaeng ron,"
76,โรงเรียนช่างอากาศอำรุง,samosorn thahan akat bang sue,ถนน เตชะวณิช,13.7974675326258,100.532236093623,"โรงเรียนช่างอากาศอำรุง,ตรงข้ามสโมสรกรมสรรพวุธ","samosorn thahan akat bang sue,"
78,สะพานคลองเคล็ด,saphan khlong khlet,ถนน สุขุมวิท 77,13.7104459226978,100.631536241741,สะพานคลองเคล็ด,"saphan khlong khlet,"
79,"มิตรไมตรี10/1,โรงเรียนตะลีมุดดีนีบะห์หมู่บ้านเค.ซี.","Friendly 10/1, schools Ta Lee ducked Udinese Sabah. Cape Town. The Sea.",ถนน มิตรไมตรี,13.8574958628114,100.833189474018,"มิตรไมตรี 10/1,โรงเรียนตะลีมุดดีนีบะห์ หมู่บ้านเค.ซี.,โรงเรียนตะลีมุดดีนีบะห์","Friendly 10/1, schools Ta Lee ducked Udinese Sabah. Cape Town. The Sea.,"
80,ตรงข้ามซอยเลียบวารี 11,trongkham liap wari 11,ถนน เลียบวารี,13.8528538303818,100.818770865671,ตรงข้ามเลียบวารี 11,"trongkham liap wari 11,"
81,ตรงข้ามชุมชนร่วมพัฒนาสินอนันต์,trongkham chumchon ruam phatthana sin anan,ถนน เลียบวารี,13.8531493860075,100.822008282181,ตรงข้ามชุมชนร่วมพัฒนาสินอนันต์,"trongkham chumchon ruam phatthana sin anan,"
82,ตรงข้ามซอยเลียบวารี 53,trongkham liap wari 53,ถนน เลียบวารี,13.8533605519678,100.823514452648,ตรงข้ามเลียบวารี 53,"trongkham liap wari 53,"
83,โรงเรียนบ้านเจียรดับ,trongkham liap wari 41,ถนน เลียบวารี,13.8539362462553,100.830105712034,"โรงเรียนบ้านเจียระดับ,ตรงข้ามเลียบวารี 41","trongkham liap wari 41,"
84,ตรงข้ามหมู่บ้านนันทวัน10,trongkham muban nan thawan 10,ถนน เลียบวารี,13.854341375413,100.834271350887,ตรงข้ามหมู่บ้านนันทวัน 10,"trongkham muban nan thawan 10,"
85,ตรงข้ามชุมชนทรัพย์เจริญ,trongkham chumchon sap charoen,ถนน เลียบวารี,13.8546588455358,100.837728906201,ตรงข้ามชุมชนทรัพย์เจริญ,"trongkham chumchon sap charoen,"
86,ตรงข้ามชุมชนพิบูรณ์ทรัพย์1,trongkham chumchon phi bun sap 1,ถนน เลียบวารี,13.854740177184,100.838669884851,ตรงข้ามชุมชนพิบูรณ์ทรัพย์ 1,"trongkham chumchon phi bun sap 1,"
87,ซอยเลียบวารี 26,liap wari 26,ถนน เลียบวารี,13.855194336533,100.843310670586,เลียบวารี 26,"liap wari 26,"
88,ตรงข้ามหมู่บ้านนันทวัน 5,trongkham liap wari 27,ถนน เลียววารี,13.8555258485486,100.847022266832,"ตรงข้ามหมู่บ้านนันทวัน5,ตรงข้ามเลียบวารี 27","trongkham liap wari 27,"
89,ซอยเลียบวารี 18,liap wari 18,ถนน เลียบวารี,13.8556988866002,100.84944456105,เลียบวารี 18,"liap wari 18,"
90,ตรงข้ามชุมชนแผ่นดินทองบ้านกระทุ่มราม,bankatumram,ถนน เลียบวารี,13.855775,100.851541,ตรงข้ามชุมชนแผ่นดินทองบ้านกระทุ่มราม,"ิbankatumram,"
91,ตรงข้ามบิ๊กซีหนองจอก,Big C Nongchonk,ถนน เลียบวารี,13.85586,100.853717,"ตรงข้ามบิ๊กซีหนองจอก,มิตรไมตรี 3",Big C Nongchonk
92,ซอยเลียบวารี 6,liap wari 6,ถนน เลียบวารี,13.8560501338659,100.856675317509,เลียบวารี 6,"liap wari 6,"
93,โรงพยาบาลเวชการุณย์รัศมิ์,wej karun rut hospital,ถนน เลียบวารี,13.8559179955425,100.858698662979,โรงพยาบาลเวชการุณย์รัศมิ์,"wej karun rut hospital,"
94,โรงเรียนสุเหร่าหะยีมินา,su lao ha yee mina school,ถนน สังฆสันติสุข,13.8540286154034,100.869457066079,โรงเรียนสุเหร่าหะยีมินา,"su lao ha yee mina school,"
95,"ตรงข้ามหมู่บ้านบุราพันธ์,ตรงข้ามธนันท์วัฒนะกิจ","Opposite the village Burapan , Opposite Matthew Nan culture ministry.",ถนน สังฆสันติสุข,13.8525324514436,100.874956216963,"ตรงข้ามหมู่บ้านบุราพันธ์ ,ตรงข้ามธนันท์วัฒนะกิจ","Opposite the village Burapan , Opposite Matthew Nan culture ministry.,"
96,ตรงข้ามซอยสันติสุข 28,trongkham soi santi suk 28,ถนน สังฆสันติสุข,13.8507168632947,100.88180721576,ตรงข้ามซอยสันติสุข 28,"trongkham soi santi suk 28,"
97,ตรงข้ามหมู่บ้านนันทวันเซ็นเตอร์1,trongkham muban nan thawan center 1,ถนน สังฆสันติสุข,13.8501540158415,100.884044178401,ตรงข้ามหมู่บ้านนันทวันเซ็นเตอร์ 1,"trongkham muban nan thawan center 1,"
98,ซอยจันทร์สุข(ขาออก),chan suk,ถนน สังฆสันติสุข,13.849202,100.888265,"ซอยจันทร์สุข(ขาออก),จันทร์สุข","chan suk,"
99,ตรงข้ามโรงเรียนสามแยกท่าไข่,trongkham sam yaek tha khai school,ถนน สังฆสันติสุข,13.8484789216198,100.891216500305,ตรงข้ามโรงเรียนสามแยกท่าไข่,"trongkham sam yaek tha khai school,"
100,"โรงสีข้าว,ถนนสังฆสันติสุข","Rice, Maximus road of peace.",ถนน สังฆสันติสุข,13.847366,100.892737,"โรงสีข้าว ,ถนนสังฆสันติสุข","Rice, Maximus road of peace.,"
101,"สุเหร่าคู่,โรงเรียนอนุสรณ์ตระกูลกอดีรี","A mosque, school, family, Qadir Memorial Oval.",ถนน สังฆสันติสุข,13.8447351242268,100.896997205123,"สุเหร่าคู่, โรงเรียนอนุสรณ์ตระกูลกอดีรี","A mosque, school, family, Qadir Memorial Oval.,"
102,ซอยสันติสุข 73,soi suntisuk 73,ถนน สังฆสันติสุข,13.8388362912431,100.902121095984,ซอยสันติสุข 73,"soi suntisuk 73,"
103,ตรงข้ามเดอะไพน์กอล์ฟแอนด์ลอดจ์,trongkham doe phai kop aen lot,ถนน สังฆสันติสุข,13.8362951597101,100.906299093859,ตรงข้ามเดอะไพน์ กอล์ฟแอนด์ลอดจ์,"trongkham doe phai kop aen lot,"
104,ซอยศาลาแดง 10,soi sala dang 10,ถนน สังฆสันติสุข,13.8351647308959,100.908131477871,ซอยศาลาแดง 10,"soi sala dang 10,"
105,ทหารประชาอุทิศ1(ขาออก),tha han pracha u thit 1,ถนน อากาศอุทิศ 1,13.8157374098199,100.934037077496,"ทหารประชาอุทิศ 1(ขาออก),ทหารประชาอุทิศ 1","tha han pracha u thit 1,"
106,ตรงข้ามหมู่บ้านร่มเย็น,opposite romyen village,ถนน ทหารอากาศอุทิศ1,13.8151694549456,100.93482401682,ตรงข้ามหมู่บ้านร่มเย็น,"opposite romyen village,"
107,ตรงข้ามหมู่บ้านแลนด์วิลล่า,Land houses,ถนน บางกรวย-ไทรน้อย,13.9287732401722,100.407637830003,หมู่บ้านแลนด์วิววิลล่า,"Land houses,"
108,"มิตรไมตรี8/3,หมู่บ้านกิตติชัยวิลลา2,ซีนะอุปถัมภ์","8/3 hospitality, Village Kittichai Villa. 2, C Foster's",ถนน มิตรไมตรี,13.8577086842317,100.835129754541,"มิตรไมตรี 8/3 ,หมู่บ้านกิตติชัยวิลลา 2,ซีนะอุปถัมภ์","8/3 hospitality, Village Kittichai Villa. 2, C Foster's,"
109,ซอยมิตรไมตรี 8,soi mit maitri 8,ถนน มิตรไมตรี,13.8587993220692,100.844684930573,ซอยมิตรไมตรี 8,"soi mit maitri 8,"
110,ซอยมิตรไมตรี 6,soi mit maitri 6,ถนน มิตรไมตรี,13.859345,100.849821,ซอยมิตรไมตรี 6,"soi mit maitri 6,"
111,โรงเรียนหนองจอกพิทยานุสสรณ์มัธยม,nong jork pi ya nusorn school,ถนน มิตรไมตรี,13.8595490199236,100.853741484319,โรงเรียนหนองจอกพิยานุสรณ์,"nong jork pi ya nusorn school,"
112,ตรงข้ามเลียบคลองบึงเตย,trongkham liap khlong bueng toei,ถนน ประชาสำราญ,13.8740553999656,100.863392436382,ตรงข้ามเลียบคลองบึงเตย,"trongkham liap khlong bueng toei,"
113,ตรงข้ามซอยประชาสำราญ 2,khrong kham pracha samran 2,ถนน ประชาสำราญ,13.8849989535222,100.863815750132,ตรงข้ามประชาสำราญ 2,"khrong kham pracha samran 2,"
114,ตรงข้ามซอยพัฒนสุข,trongkham soi phatthana suk,ถนน ประชาสำราญ,13.9006316888934,100.862865007223,ตรงข้ามซอยพัฒนสุข,"trongkham soi phatthana suk,"
115,ตรงข้ามหมู่บ้านเธียรทอง 2,trongkham muban thian thong 2,ถนน ประชาสำราญ,13.9072158824832,100.863117478618,ตรงข้าม หมู่บ้านเธียรทอง 2,"trongkham muban thian thong 2,"
116,ตรงข้ามซอยเธียรทอง 2,trongkham soi muban thian thong 2,ถนน ประชาสำราญ,13.9037019994659,100.862937274702,ตรงข้าม ซอยเธียรทอง 2,"trongkham soi muban thian thong 2,"
117,หมู่บ้านเธียรทอง 3,trongkham soi muban thian thong 3,ถนน ประชาสำราญ,13.9255974895565,100.86410389827,หมู่บ้านเธียรทอง 3,"trongkham soi muban thian thong 3,"
118,แยกหลวงแพ่ง,luang pang,ถนน สังฆสันติสุข,13.8135198727007,100.937168463725,"หลวงแพ่ง,","luang pang,"
119,หมู่บ้านร่มเย็น,romyen village,ถนน ทหารอากาศอุทิศ 1,13.815149,100.934709,"ทหารประชาอุทิศ 1(ขาออก),ทหารประชาอุทิศ 1","romyen village,"
120,ทหารประชาอุทิศ1(ขาออก),tha han pracha u thit 1,ถนน ทหารอากาศอุทิศ 1,13.8156773314059,100.933995053961,"ทหารประชาอุทิศ 1(ขาออก),ทหารประชาอุทิศ 1","tha han pracha u thit 1,"
121,หมู่บ้านเอื้ออาทร(ท่ารถสาย131),Generosity village (Bus line 131).,ถนน สังฆสันติสุข,13.8349229186578,100.907793615021,"หมู่บ้านเอื้ออาทร(ท่ารถสาย 131),ตรงข้ามซอยศาลาแดง 10","Generosity village (Bus line 131).,"
122,เดอะไพน์กอล์ฟแอนด์ลอดจ์,The Pine Golf & Lodge,ถนน สังฆสันติสุข,13.836655,100.905366,เดอะไพน์ กอล์ฟแอนด์ลอดจ์,"The Pine Golf & Lodge,"
123,ตรงข้ามซอยสันติสุข 73,trongkham soi santi suk 73,ถนน สังฆสันติสุข,13.8387431607797,100.902091982638,ตรงข้ามซอยสันติสุข 73,"trongkham soi santi suk 73,"
124,ซอยสันฆสันติสุข 69,"San Juan peace 69, Mosque Christopher Shun Da Madinah.",ถนน สังฆสันติสุข,13.842211,100.900103,มัสยิดดาริสชุนนะห์,"San Juan peace 69, Mosque Christopher Shun Da Madinah.,"
125,"ตรงข้ามสุเหร่าคู่,ตรงข้ามโรงเรียนอนุสรณ์ตระกูลกอดีรี","The mosque opposite pairs, opposite Memorial Qadir's family.",ถนน สังฆสันติสุข,13.8446443678989,100.896861098729,"ตรงข้ามสุเหร่าคู่, ตรงข้ามโรงเรียนอนุสรณ์ตระกูลกอดีรี","The mosque opposite pairs, opposite Memorial Qadir's family.,"
126,"ตรงข้ามโรงสีขาว,ซอยสันติสุข 40","Opposite Rice, 40 Soi peace.",ถนน สังฆสันติสุข,13.8469974420069,100.892954216416,"ตรงข้ามโรงสีขาว ,ซอยสันติสุข 40","Opposite Rice, 40 Soi peace.,"
127,โรงเรียนสามแยกท่าไข่,sam yaek tha khai school,ถนน สังฆสันติสุข,13.8483876931677,100.891139946614,โรงเรียนสามแยกท่าไข่,"sam yaek tha khai school,"
128,ซอยจันทร์สุข(ขาเข้า),Soi Hantrssuk,ถนน สังฆสันติสุข,13.8491184782825,100.88808028599,"ซอยจันทร์สุข(ขาเข้า),ซอยสันติสุข 38","Soi Hantrssuk,"
129,หมู่บ้านนันทวันเซ็นเตอร์1,Muban Nanthawan Center 1,ถนน สังฆสันติสุข,13.8501085123769,100.883993833877,หมู่บ้านนันทวันเซ็นเตอร์ 1,"Muban Nanthawan Center 1,"
130,ซอยสันติสุข 28,soi santi suk 28,ถนน สังฆสันติสุข,13.8506195143596,100.881798130247,ซอยสันติสุข 28,"soi santi suk 28,"
131,"หมู่บ้านบุราพันธิ์,ธนันท์วัฒนะกิจ","The village of Bura rights, Nan's culture ministry.",ถนน สังฆสันติสุข,13.852375,100.874979,"หมู่บ้านบุราพันธิ์ , ธนันท์วัฒนะกิจ","The village of Bura rights, Nan's culture ministry.,"
132,ตรงข้ามโรงเรียนสุเหร่าหะยีมินา,trongkham rongrian surao hayi mi na,ถนน สังฆสันติสุข,13.853837748367,100.869419087336,ตรงข้ามโรงเรียนสุเหร่าหะยีมินา,"trongkham rongrian surao hayi mi na,"
133,ตรงข้ามโรงพยาบาลเวชการุณย์รัศมิ์,trongkham rongphayaban wet karun rat,ถนน เลียบวารี,13.855705600252,100.858516584513,ตรงข้าม โรงพยาบาลเวชการุณย์รัศมิ์,"trongkham rongphayaban wet karun rat,"
134,ตรงข้ามซอยเด่นดวง,liap wari 1,ถนน เลียบวารี,13.855895144638,100.856765625528,เลียบวารี 1,"liap wari 1,"
135,บิ๊กซีหนองจอก,carrefour,ถนน เลียววารี,13.855777,100.854749,"บิ๊กซีหนองจอก,ถนนเลียบวารี","carrefour,"
136,ชุมชนแผ่นดินทองบ้านกระทุ่มราม,kratumram,ถนน เลียบวารี,13.8556766095007,100.851292332764,ชุมชนแผ่นดินทองบ้านกระทุ่มราม,"kratumram,"
137,ตรงข้ามซอยเลียบวารี 18,trongkham liap wari 18,ถนน เลียบวารี,13.8555328550707,100.849491216107,ตรงข้ามเลียบวารี 18,"trongkham liap wari 18,"
138,หมู่บ้านนันทวัน 5,liap wari 11,ถนน เลียบวารี,13.8554119760533,100.847080024636,หมู่บ้านนันทวัน 5,"liap wari 11,"
139,ตรงข้ามซอยเลียบวารี 26,trongkham liap wari 26,ถนน เลียบวารี,13.855060230128,100.843348304119,ตรงข้ามเลียบวารี 26,"trongkham liap wari 26,"
140,ชุมชนพิบูรณ์ทรัพย์ 1,chumchon phi bun sap 1,ถนน เลียบวารี,13.8545828776298,100.83866022933,ชุมชนพิบูรณ์ทรัพย์ 1,"chumchon phi bun sap 1,"
141,ชุมชนทรัพย์เจริญ,chumchon sap charoen,ถนน เลียบวารี,13.8545343159352,100.837737030688,ชุมชนทรัพย์เจริญ,"chumchon sap charoen,"
142,หมู่บ้านนันทวัน10,Muban Nanthawan 10,ถนน เลียบวารี,13.8542406494697,100.834322774121,หมู่บ้านนันทวัน 10,"Muban Nanthawan 10,"
143,ตรงข้ามโรงเรียนเจียรดับ,liap wari 41,ถนน มิตรไมตรี,13.8538192623466,100.830109738196,"ตรงข้ามโรงเรียเจียระดับ,เลียบวารี 41","liap wari 41,"
144,ซอยเลียบวารี 53,liap wari 53,ถนน เลียบวารี,13.8531570414741,100.823534539371,เลียบวารี 53,"liap wari 53,"
145,ชุมชนร่วมพัฒนาสินอนันต์,chumchon ruam phatthana sin anan,ถนน เลียบวารี,13.8530644716898,100.822023324009,ชุมชนร่วมพัฒนาสินอนันต์,"chumchon ruam phatthana sin anan,"
146,ซอยเลียบวารี 11,soi liap wari 11,ถนน เลียบวารี,13.852736,100.818781,ซอยเลียบวารี 11,"soi liap wari 11,"
147,ชุมชนแผ่นดินทอง,chumchon phaendin thong,ถนน เลียบวารี,13.8524530862594,100.815501531815,ชุมชนแผ่นดินทอง,"chumchon phaendin thong,"
